1,826.89,178.11,58.048,141.58,128.36
1,243.03,149.84,58.048,141.58,105.1
1,559.87,319.91,44.559,108.68,87.954
1,221.01,359.08,44.559,108.68,50.362
2,254.47,281.18,74.826,182.5,106.12
2,327.44,281.18,74.826,182.5,87.897
2,537.7,119.49,98.31,239.78,43.608
2,342.03,244.66,74.826,182.5,26.398
2,15.407,317.02,40.814,99.547,22.807
2,393.11,237.36,74.826,182.5,22.692
2,196.48,205.4,53.236,129.84,13.539
2,274.66,2.1812,44.746,109.14,8.8174
2,372.85,210.6,53.236,129.84,5.6293
2,283.66,259.27,74.826,182.5,3.7258
3,284.11,278.4,196.34,478.88,78.083
3,514.93,469.68,105.82,258.09,37.208
3,628.12,320.73,44.737,109.11,34.759
3,535.35,370.08,75.197,183.41,26.093
3,654.31,312,44.737,109.11,22.14
3,548.24,313.41,57.937,141.31,17.937
3,208.71,464.62,63.11,153.93,17.611
3,129.14,462.7,88.797,216.58,15.472
3,256.66,90.297,97.631,238.12,9.089
3,467.5,106,41,100,8.55
3,246.49,304.52,105.82,258.09,5.4984
4,510,280,164,400,174.37
4,819.1,278.4,196.23,478.61,127.89
4,308.21,263.66,138.31,337.34,101.87
4,865.71,354.29,234.29,571.43,33.726
4,436.15,169.23,63.077,153.85,26.954
4,598.94,197.65,115.96,282.84,26.135
4,478.46,203.08,126.15,307.69,25.949
4,422.2,144,57.833,141.06,20.856
4,263.5,14,41,100,19.788
4,261.12,411.09,48.748,118.9,17.641
4,1027.2,297.03,48.748,118.9,9.1907
4,521.36,135.27,89.337,217.89,8.3068
4,287.5,18,41,100,2.9149
4,294.62,187.69,63.077,153.85,2.0316
5,535.22,260.42,137.25,334.76,114.61
5,340.62,229.18,152.12,371.03,106.62
5,278.39,222.53,106.13,258.86,74.444
5,896.44,230,41.023,100.06,28.329
5,469.54,169.93,63.385,154.6,24.171
5,287.43,56.653,89.488,218.26,18.82
5,544.07,42,41.023,100.06,15.54
5,372.97,119.1,116.28,283.6,13.221
5,462.24,97.61,68.888,168.02,8.12
5,861.87,697.14,48.811,119.05,6.9696
5,562.07,193.65,137.25,334.76,6.8956
5,800.34,234,41.023,100.06,3.4827
6,476.04,240,213.56,520.89,91.188
6,246.67,259.2,196.56,479.42,49.557
6,392.8,240,213.56,520.89,38.576
6,112.75,495.27,44.692,109,33.759
6,1036.5,460.36,44.692,109,31.613
6,884.3,406.15,68.768,167.73,30.258
6,681.12,152.73,89.564,218.45,22.776
6,1048.5,100.36,89.564,218.45,16.216
6,1050.6,306,40.981,99.954,15.212
6,439.14,114,40.981,99.954,15.093
6,247.27,164.48,68.768,167.73,13.273
6,1014.2,-4,81.962,199.91,13.174
